player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2010PhilDill,2010,Phillip Dillard,ILB,Nebraska,72,245.0,4.65,31.5,,106.0,7.16,4.43,NYG,LB,4.0
2010AndrDixo,2010,Andre Dixon,RB,Connecticut,73,205.0,4.56,40.0,,117.0,6.99,4.19,Undrafted,Undrafted,8.0
2010AnthDixo,2010,Anthony Dixon,RB,Mississippi State,73,233.0,4.67,33.0,15.0,121.0,7.09,4.49,SFO,RB,6.0
2010MattDodg,2010,Matt Dodge,P,East Carolina,73,224.0,,,,,,,NYG,P,7.0
2010Jim Dray,2010,Jim Dray,TE,Stanford,77,246.0,4.82,,17.0,,,,ARI,TE,7.0
2010VladDuca,2010,Vladimir Ducasse,OT,Massachusetts,76,332.0,5.21,26.0,29.0,91.0,8.25,4.97,NYJ,T,2.0
2010CarlDunl,2010,Carlos Dunlap,DE,Florida,78,277.0,4.68,31.5,21.0,111.0,7.21,4.61,CIN,DE,2.0
2010JonaDwye,2010,Jonathan Dwyer,RB,Georgia Tech,71,229.0,4.64,33.0,15.0,107.0,7.56,4.67,PIT,RB,6.0
2010MarcEasl,2010,Marcus Easley,WR,Connecticut,75,210.0,4.39,34.0,16.0,123.0,6.94,4.6,BUF,WR,4.0
2010A.J.Edds,2010,A.J. Edds,OLB,Iowa,76,246.0,4.62,33.0,16.0,117.0,7.19,4.28,MIA,LB,4.0
2010ArmaEdwa,2010,Armanti Edwards,WR,Appalachian State,71,187.0,4.41,,,,,,CAR,WR,3.0
2010BrodEldr,2010,Brody Eldridge,TE,Oklahoma,77,261.0,4.72,31.5,,,,,IND,TE,5.0
2010DedrEpps,2010,Dedrick Epps,TE,Miami (FL),75,250.0,4.7,,19.0,,,,SDG,TE,7.0
2010JacoFord,2010,Jacoby Ford,WR,Clemson,69,186.0,4.28,33.5,15.0,115.0,7.0,4.44,OAK,WR,4.0
2010JasoFox,2010,Jason Fox,OT,Miami (FL),79,303.0,5.45,,23.0,,,,DET,T,4.0
2010DomiFran,2010,Dominique Franks,CB,Oklahoma,71,194.0,4.46,33.5,10.0,117.0,7.32,4.33,ATL,DB,5.0
2010JuniGale,2010,Junior Galette,OLB,Temple,74,257.0,4.77,33.5,25.0,113.0,7.04,4.16,Undrafted,Undrafted,8.0
2010ClifGeat,2010,Clifton Geathers,DE,South Carolina,79,299.0,4.98,36.0,26.0,112.0,7.69,,CLE,DE,6.0
2010RiarGeer,2010,Riar Geer,FB,Colorado,75,256.0,5.0,33.0,13.0,106.0,7.13,4.29,Undrafted,Undrafted,8.0
2010TobyGerh,2010,Toby Gerhart,RB,Stanford,72,231.0,4.5,38.0,22.0,118.0,6.94,4.25,MIN,RB,2.0
2010DaviGett,2010,David Gettis,WR,Baylor,75,217.0,4.43,34.5,15.0,124.0,6.94,4.41,CAR,WR,6.0
2010BranGhee,2010,Brandon Ghee,CB,Wake Forest,72,192.0,4.37,37.0,15.0,127.0,6.75,4.07,CIN,DB,3.0
2010ThadGibs,2010,Thaddeus Gibson,OLB,Ohio State,74,243.0,4.78,32.0,32.0,115.0,6.84,4.27,PIT,DE,4.0
2010MardGily,2010,Mardy Gilyard,WR,Cincinnati,72,187.0,4.61,39.0,,116.0,6.92,4.4,STL,WR,4.0
2010TravGoet,2010,Travis Goethel,ILB,Arizona State,74,240.0,4.81,35.0,21.0,111.0,6.93,4.54,OAK,LB,6.0
2010BranGrah,2010,Brandon Graham,OLB,Michigan,73,268.0,4.71,,31.0,,,,PHI,DE,1.0
2010GarrGrah,2010,Garrett Graham,TE,Wisconsin,75,243.0,4.71,34.5,20.0,112.0,7.09,4.35,HOU,TE,4.0
2010JimmGrah,2010,Jimmy Graham,TE,Miami (FL),78,260.0,4.53,38.5,,120.0,6.9,4.45,NOR,TE,3.0
